"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","90","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateAllFields","Обновление всех полей пользователя [2] pharaoh, Tutan, Hamon, hamon@hamon.eg, 0az01, +20777777000, 1",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","30","","Тесты на создание пользователя","","api.users.CreateUserTest","createUserWithoutUsername","Создание пользователя без username",""
"passed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","33","","api.users.LoginUserTest","","api.users.LoginUserTest","loginCorrectUser","Логин корректного пользователя",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","36","","Тесты на создание пользователя","","api.users.CreateUserTest","createValidUser","Создание валидного пользователя с разными данными [2] pharaoh, Tutan, Hamon, hamon@hamon.eg, 0az01, +20777777000, 1",""
"failed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","43","","api.users.LoginUserTest","","api.users.LoginUserTest","loginUserWithEmptyPassword","Логин пользователя с пустым паролем",""
"failed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","161","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateAllFieldsExceptOfUsername","Обновление всех полей пользователя кроме username [1] Leon, Leon, Mortanyan, mort24@jj.am, 12345, +37422258420, 0",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","34","","Тесты на создание пользователя","","api.users.CreateUserTest","createUserWithoutId","Создание пользователя без id",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","29","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createUsersByEmptyArray","Создание пользователей пустым массивом [2] /createWithList",""
"failed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","52","","api.users.LoginUserTest","","api.users.LoginUserTest","loginDeletedUser","Логин удаленного ранее пользователя",""
"failed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","86","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateAllFieldsExceptOfUsername","Обновление всех полей пользователя кроме username [2] pharaoh, Tutan, Hamon, hamon@hamon.eg, 0az01, +20777777000, 1",""
"failed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","31","","api.users.LoginUserTest","","api.users.LoginUserTest","loginUserWithWrongPassword","Логин пользователя с неправильным паролем",""
